Date,Price_JNJ
2014-01-01,88.470001
2014-02-01,92.120003
2014-03-01,98.230003
2014-04-01,101.290001
2014-05-01,101.459999
2014-06-01,104.620003
2014-07-01,100.089996
2014-08-01,103.730003
2014-09-01,106.589996
2014-10-01,107.779999
2014-11-01,108.25
2014-12-01,104.57
2015-01-01,100.139999
2015-02-01,102.510002
2015-03-01,100.599998
2015-04-01,99.199997
2015-05-01,100.139999
2015-06-01,97.459999
2015-07-01,100.209999
2015-08-01,93.980003
2015-09-01,93.349998
2015-10-01,101.029999
2015-11-01,101.239998
2015-12-01,102.720001
2016-01-01,104.440002
2016-02-01,105.209999
2016-03-01,108.199997
2016-04-01,112.080002
2016-05-01,112.690002
2016-06-01,121.300003
2016-07-01,125.230003
2016-08-01,119.339996
2016-09-01,118.129997
2016-10-01,115.989998
2016-11-01,111.300003
2016-12-01,115.209999
2017-01-01,113.25
2017-02-01,122.209999
2017-03-01,124.550003
2017-04-01,123.470001
2017-05-01,128.25
2017-06-01,132.289993
2017-07-01,132.720001
2017-08-01,132.369995
2017-09-01,130.009995
2017-10-01,139.410004
2017-11-01,139.330002
2017-12-01,139.720001
2018-01-01,138.190002
2018-02-01,129.880005
2018-03-01,128.149994
2018-04-01,126.489998
2018-05-01,119.620003
2018-06-01,121.339996
2018-07-01,132.520004
2018-08-01,134.690002
2018-09-01,138.169998
2018-10-01,139.990005
2018-11-01,146.899994
2018-12-01,129.050003
2019-01-01,133.080002
2019-02-01,136.639999
2019-03-01,139.789993
2019-04-01,141.199997
2019-05-01,131.149994
2019-06-01,139.279999
2019-07-01,130.220001
2019-08-01,128.360001
2019-09-01,129.380005
2019-10-01,132.039993
2019-11-01,137.490005
2019-12-01,145.869995
2020-01-01,148.869995
2020-02-01,134.479996
2020-03-01,131.130005
2020-04-01,150.039993
2020-05-01,148.75
2020-06-01,140.630005
2020-07-01,145.759995
2020-08-01,153.410004
2020-09-01,148.880005
2020-10-01,137.110001
2020-11-01,144.679993
2020-12-01,157.380005
2021-01-01,163.130005
2021-02-01,158.460007
2021-03-01,164.350006
2021-04-01,162.729996
2021-05-01,169.25
2021-06-01,164.740005
2021-07-01,172.199997
2021-08-01,173.130005
2021-09-01,161.5
2021-10-01,162.880005
2021-11-01,155.929993
2021-12-01,171.070007
2022-01-01,172.289993
2022-02-01,164.570007
2022-03-01,177.229996
2022-04-01,180.460007
2022-05-01,179.529999
2022-06-01,177.509995
2022-07-01,174.520004
2022-08-01,161.339996
2022-09-01,163.360001
2022-10-01,173.970001
2022-11-01,178
2022-12-01,176.649994
2023-01-01,163.419998
2023-02-01,153.259995
2023-03-01,155
2023-04-01,163.699997
2023-05-01,155.059998
2023-06-01,165.520004
2023-07-01,167.529999
2023-08-01,161.679993
2023-09-01,155.75
2023-10-01,148.339996
2023-11-01,154.660004
2023-12-01,156.740005
