Date,Price_PFE
2014-01-01,28.842505
2014-02-01,30.464895
2014-03-01,30.474382
2014-04-01,29.67742
2014-05-01,28.111954
2014-06-01,28.159393
2014-07-01,27.229603
2014-08-01,27.884251
2014-09-01,28.055029
2014-10-01,28.41556
2014-11-01,29.554079
2014-12-01,29.554079
2015-01-01,29.648956
2015-02-01,32.561668
2015-03-01,33.007591
2015-04-01,32.19165
2015-05-01,32.969639
2015-06-01,31.812143
2015-07-01,34.212524
2015-08-01,30.56926
2015-09-01,29.800758
2015-10-01,32.087288
2015-11-01,31.091082
2015-12-01,30.626186
2016-01-01,28.927895
2016-02-01,28.149904
2016-03-01,28.121443
2016-04-01,31.034157
2016-05-01,32.922199
2016-06-01,33.406071
2016-07-01,35
2016-08-01,33.017078
2016-09-01,32.134724
2016-10-01,30.085388
2016-11-01,30.493359
2016-12-01,30.815939
2017-01-01,30.104364
2017-02-01,32.371918
2017-03-01,32.457306
2017-04-01,32.182163
2017-05-01,30.97723
2017-06-01,31.86907
2017-07-01,31.461102
2017-08-01,32.182163
2017-09-01,33.870968
2017-10-01,33.263756
2017-11-01,34.402279
2017-12-01,34.364326
2018-01-01,35.142315
2018-02-01,34.449715
2018-03-01,33.671726
2018-04-01,34.734344
2018-05-01,34.089184
2018-06-01,34.421253
2018-07-01,37.884251
2018-08-01,39.392788
2018-09-01,41.812145
2018-10-01,40.853889
2018-11-01,43.861481
2018-12-01,41.413662
2019-01-01,40.275143
2019-02-01,41.129032
2019-03-01,40.294117
2019-04-01,38.529411
2019-05-01,39.392788
2019-06-01,41.100571
2019-07-01,36.850094
2019-08-01,33.728653
2019-09-01,34.089184
2019-10-01,36.404175
2019-11-01,36.54649
2019-12-01,37.172676
2020-01-01,35.332069
2020-02-01,31.707781
2020-03-01,30.967743
2020-04-01,36.394688
2020-05-01,36.233398
2020-06-01,31.024668
2020-07-01,36.508537
2020-08-01,35.853889
2020-09-01,34.819733
2020-10-01,33.662239
2020-11-01,38.310001
2020-12-01,36.810001
2021-01-01,35.900002
2021-02-01,33.490002
2021-03-01,36.23
2021-04-01,38.650002
2021-05-01,38.73
2021-06-01,39.16
2021-07-01,42.810001
2021-08-01,46.07
2021-09-01,43.009998
2021-10-01,43.740002
2021-11-01,53.73
2021-12-01,59.049999
2022-01-01,52.689999
2022-02-01,46.939999
2022-03-01,51.77
2022-04-01,49.07
2022-05-01,53.040001
2022-06-01,52.43
2022-07-01,50.509998
2022-08-01,45.23
2022-09-01,43.759998
2022-10-01,46.549999
2022-11-01,50.130001
2022-12-01,51.240002
2023-01-01,44.16
2023-02-01,40.57
2023-03-01,40.799999
2023-04-01,38.889999
2023-05-01,38.02
2023-06-01,36.68
2023-07-01,36.060001
2023-08-01,35.380001
2023-09-01,33.169998
2023-10-01,30.559999
2023-11-01,30.469999
2023-12-01,28.790001
